Local Time,Jdays,Altitude,Latitude,Longitude,Density,,
22.445319,25567,4.63E+02,2.26E+01,336.679778,2.27E+05,,
22.710104,25567.00069444,4.64E+02,2.40E+01,340.401563,2.13E+05,,
22.97998,25567.00138889,4.65E+02,2.52E+01,344.199694,1.97E+05,,
23.254811,25567.00208333,4.67E+02,2.62E+01,348.072171,1.79E+05,,
23.534345,25567.00277778,4.69E+02,2.72E+01,352.015181,1.61E+05,,
23.818201,25567.00347222,4.72E+02,2.80E+01,356.023018,1.44E+05,,
0.105872,25567.00416667,4.76E+02,2.87E+01,0.088078,1.30E+05,,
0.39673,25567.00486111,4.80E+02,2.93E+01,4.200948,1.17E+05,,
0.69004,25567.00555556,4.84E+02,2.97E+01,8.350601,1.07E+05,,
0.984979,25567.00625,4.89E+02,3.00E+01,12.524686,9.82E+04,,
1.280661,25567.00694444,4.94E+02,3.01E+01,16.709911,9.09E+04,,
1.576167,25567.00763889,5.00E+02,3.01E+01,20.892501,8.44E+04,,
1.870579,25567.00833333,5.06E+02,2.99E+01,25.058682,7.82E+04,,
2.163011,25567.00902778,5.12E+02,2.96E+01,29.195168,7.21E+04,,
2.452641,25567.00972222,5.19E+02,2.92E+01,33.289613,6.60E+04,,
2.738733,25567.01041667,5.26E+02,2.86E+01,37.330992,5.97E+04,,
3.020659,25567.01111111,5.33E+02,2.78E+01,41.309885,5.33E+04,,
3.297911,25567.01180556,5.41E+02,2.70E+01,45.218671,4.72E+04,,
3.570107,25567.0125,5.49E+02,2.60E+01,49.051605,4.16E+04,,
3.836988,25567.01319444,5.57E+02,2.49E+01,52.804817,3.70E+04,,
4.098415,25567.01388889,5.65E+02,2.37E+01,56.476222,3.37E+04,,
4.354359,25567.01458333,5.73E+02,2.24E+01,60.065384,3.23E+04,,
4.604889,25567.01527778,5.81E+02,2.11E+01,63.573338,3.30E+04,,
4.85016,25567.01597222,5.90E+02,1.96E+01,67.002397,3.59E+04,,
5.090396,25567.01666667,5.98E+02,1.81E+01,70.355947,4.05E+04,,
5.325884,25567.01736111,6.07E+02,1.65E+01,73.638265,4.57E+04,,
5.556956,25567.01805556,6.15E+02,1.49E+01,76.854334,5.11E+04,,
5.78398,25567.01875,6.23E+02,1.32E+01,80.009697,5.76E+04,,
6.007354,25567.01944444,6.31E+02,1.15E+01,83.110313,6.75E+04,,
6.227497,25567.02013889,6.40E+02,9.73E+00,86.162455,8.03E+04,,
6.444841,25567.02083333,6.47E+02,7.95E+00,89.172608,9.31E+04,,
6.659827,25567.02152778,6.55E+02,6.14E+00,92.147405,1.03E+05,,
6.872904,25567.02222222,6.63E+02,4.32E+00,95.093562,1.08E+05,,
7.084523,25567.02291667,6.70E+02,2.49E+00,98.017838,1.10E+05,,
7.295133,25567.02361111,6.77E+02,6.61E-01,100.926997,1.09E+05,,
7.505186,25567.02430556,6.83E+02,-1.17E+00,103.827784,1.08E+05,,
7.715126,25567.025,6.90E+02,-3.00E+00,106.726897,1.06E+05,,
7.925398,25567.02569444,6.95E+02,-4.81E+00,109.630972,1.04E+05,,
8.136437,25567.02638889,7.01E+02,-6.60E+00,112.546559,1.00E+05,,
8.348673,25567.02708333,7.06E+02,-8.37E+00,115.480099,9.59E+04,,
8.562527,25567.02777778,7.11E+02,-1.01E+01,118.437898,9.10E+04,,
8.778406,25567.02847222,7.15E+02,-1.18E+01,121.426087,8.59E+04,,
8.996706,25567.02916667,7.19E+02,-1.35E+01,124.450585,8.06E+04,,
9.217803,25567.02986111,7.22E+02,-1.51E+01,127.51704,7.58E+04,,
9.442051,25567.03055556,7.25E+02,-1.67E+01,130.630761,7.15E+04,,
9.669776,25567.03125,7.27E+02,-1.82E+01,133.796642,6.78E+04,,
9.901271,25567.03194444,7.29E+02,-1.97E+01,137.019066,6.48E+04,,
10.136786,25567.03263889,7.30E+02,-2.11E+01,140.301796,6.25E+04,,
10.376524,25567.03333333,7.31E+02,-2.24E+01,143.647858,6.10E+04,,
10.620627,25567.03402778,7.31E+02,-2.36E+01,147.05941,6.01E+04,,
10.869174,25567.03472222,7.31E+02,-2.47E+01,150.537616,6.00E+04,,
11.122167,25567.03541667,7.30E+02,-2.58E+01,154.082511,6.03E+04,,
11.379526,25567.03611111,7.28E+02,-2.67E+01,157.692892,6.12E+04,,
11.641081,25567.03680556,7.26E+02,-2.76E+01,161.36622,6.24E+04,,
11.906571,25567.0375,7.23E+02,-2.83E+01,165.098568,6.38E+04,,
12.17564,25567.03819444,7.20E+02,-2.89E+01,168.884607,6.55E+04,,
12.447843,25567.03888889,7.16E+02,-2.94E+01,172.717652,6.74E+04,,
12.722651,25567.03958333,7.12E+02,-2.98E+01,176.58977,6.95E+04,,
12.999464,25567.04027778,7.07E+02,-3.00E+01,180.491954,7.18E+04,,
13.277624,25567.04097222,7.02E+02,-3.01E+01,184.414362,7.45E+04,,
13.55644,25567.04166667,6.97E+02,-3.01E+01,188.346597,7.76E+04,,
13.835202,25567.04236111,6.91E+02,-2.99E+01,192.278037,8.12E+04,,
14.113211,25567.04305556,6.84E+02,-2.97E+01,196.198165,8.55E+04,,
14.389794,25567.04375,6.77E+02,-2.92E+01,200.096908,9.06E+04,,
14.664329,25567.04444444,6.70E+02,-2.87E+01,203.964937,9.66E+04,,
14.936262,25567.04513889,6.62E+02,-2.80E+01,207.793927,1.04E+05,,
15.205117,25567.04583333,6.54E+02,-2.72E+01,211.576757,1.12E+05,,
15.47051,25567.04652778,6.46E+02,-2.63E+01,215.307647,1.23E+05,,
15.732149,25567.04722222,6.38E+02,-2.53E+01,218.982228,1.35E+05,,
15.989837,25567.04791667,6.29E+02,-2.41E+01,222.59756,1.49E+05,,
16.243472,25567.04861111,6.20E+02,-2.29E+01,226.152085,1.66E+05,,
16.493037,25567.04930556,6.11E+02,-2.16E+01,229.645553,1.86E+05,,
16.738595,25567.05,6.02E+02,-2.02E+01,233.078918,2.10E+05,,
16.980281,25567.05069444,5.93E+02,-1.87E+01,236.45421,2.38E+05,,
17.218294,25567.05138889,5.84E+02,-1.71E+01,239.774405,2.72E+05,,
17.452887,25567.05208333,5.75E+02,-1.55E+01,243.043298,3.13E+05,,
17.684359,25567.05277778,5.67E+02,-1.38E+01,246.26538,3.60E+05,,
17.913048,25567.05347222,5.58E+02,-1.21E+01,249.445719,4.12E+05,,
18.139324,25567.05416667,5.49E+02,-1.03E+01,252.589866,4.58E+05,,
18.363584,25567.05486111,5.41E+02,-8.48E+00,255.703763,4.76E+05,,
18.586245,25567.05555556,5.33E+02,-6.63E+00,258.793669,4.55E+05,,
18.80774,25567.05625,5.25E+02,-4.74E+00,261.866098,4.04E+05,,
19.028517,25567.05694444,5.18E+02,-2.84E+00,264.92776,3.42E+05,,
19.249035,25567.05763889,5.11E+02,-9.21E-01,267.985521,2.85E+05,,
19.469757,25567.05833333,5.04E+02,1.00E+00,271.046357,2.38E+05,,
19.691154,25567.05902778,4.98E+02,2.93E+00,274.117316,2.02E+05,,
19.913699,25567.05972222,4.92E+02,4.85E+00,277.20548,1.76E+05,,
20.137861,25567.06041667,4.87E+02,6.75E+00,280.317919,1.59E+05,,
20.364109,25567.06111111,4.82E+02,8.64E+00,283.461642,1.49E+05,,
20.592903,25567.06180556,4.78E+02,1.05E+01,286.643541,1.43E+05,,
20.824687,25567.0625,4.74E+02,1.23E+01,289.870312,1.40E+05,,
21.059891,25567.06319444,4.71E+02,1.41E+01,293.148372,1.39E+05,,
21.298917,25567.06388889,4.68E+02,1.58E+01,296.48375,1.40E+05,,
21.54213,25567.06458333,4.66E+02,1.75E+01,299.881956,1.40E+05,,
21.789856,25567.06527778,4.64E+02,1.91E+01,303.347836,1.41E+05,,
22.04236,25567.06597222,4.64E+02,2.06E+01,306.885403,1.41E+05,,
22.299843,25567.06666667,4.63E+02,2.21E+01,310.497646,1.40E+05,,
22.562422,25567.06736111,4.64E+02,2.34E+01,314.186335,1.39E+05,,
22.830122,25567.06805556,4.64E+02,2.46E+01,317.951824,1.37E+05,,
23.102857,25567.06875,4.66E+02,2.58E+01,321.792862,1.33E+05,,
23.380429,25567.06944444,4.68E+02,2.68E+01,325.706438,1.29E+05,,
23.662511,25567.07013889,4.70E+02,2.77E+01,329.68767,1.25E+05,,
23.948651,25567.07083333,4.74E+02,2.85E+01,333.729769,1.20E+05,,
0.238272,25567.07152778,4.77E+02,2.91E+01,337.824084,1.14E+05,,
0.530683,25567.07222222,4.81E+02,2.96E+01,341.960248,1.08E+05,,
0.825095,25567.07291667,4.86E+02,2.99E+01,346.126429,1.02E+05,,
1.120645,25567.07361111,4.91E+02,3.01E+01,350.309679,9.59E+04,,
1.416424,25567.07430556,4.96E+02,3.01E+01,354.496358,8.93E+04,,
1.711508,25567.075,5.02E+02,3.00E+01,358.672613,8.26E+04,,
2.004991,25567.07569444,5.08E+02,2.98E+01,2.824872,7.57E+04,,
2.296021,25567.07638889,5.15E+02,2.94E+01,6.940312,6.87E+04,,
2.583819,25567.07708333,5.22E+02,2.88E+01,11.007281,6.18E+04,,
2.867708,25567.07777778,5.29E+02,2.81E+01,15.01562,5.52E+04,,
3.147127,25567.07847222,5.36E+02,2.73E+01,18.956902,4.89E+04,,
3.421637,25567.07916667,5.44E+02,2.64E+01,22.824557,4.32E+04,,
3.690927,25567.07986111,5.52E+02,2.54E+01,26.613901,3.83E+04,,
3.954806,25567.08055556,5.60E+02,2.42E+01,30.322089,3.46E+04,,
4.213199,25567.08125,5.68E+02,2.30E+01,33.947989,3.23E+04,,
4.466135,25567.08194444,5.76E+02,2.17E+01,37.492024,3.17E+04,,
4.713732,25567.08263889,5.85E+02,2.02E+01,40.955979,3.31E+04,,
4.956187,25567.08333333,5.93E+02,1.88E+01,44.342804,3.65E+04,,
5.193761,25567.08402778,6.02E+02,1.72E+01,47.656417,4.17E+04,,
5.426768,25567.08472222,6.10E+02,1.56E+01,50.901521,4.79E+04,,
5.655563,25567.08541667,6.18E+02,1.39E+01,54.08344,5.45E+04,,
5.880532,25567.08611111,6.27E+02,1.22E+01,57.207973,6.20E+04,,
6.102085,25567.08680556,6.35E+02,1.05E+01,60.281275,7.19E+04,,
6.32065,25567.0875,6.43E+02,8.70E+00,63.309755,8.39E+04,,
6.536666,25567.08819444,6.50E+02,6.91E+00,66.299995,9.62E+04,,
6.750579,25567.08888889,6.58E+02,5.09E+00,69.258685,1.06E+05,,
6.962838,25567.08958333,6.65E+02,3.26E+00,72.192576,1.11E+05,,
7.173896,25567.09027778,6.73E+02,1.43E+00,75.108435,1.13E+05,,
7.384202,25567.09097222,6.79E+02,-4.01E-01,78.013023,1.12E+05,,
7.594204,25567.09166667,6.86E+02,-2.23E+00,80.913062,1.10E+05,,
7.804348,25567.09236111,6.92E+02,-4.05E+00,83.815219,1.07E+05,,
